,B1,B2,B3,B4,B5,B6,B7,CMANAME,CMAPUID,CMATYPE,CMAUID,CTNAME,CTUID,PRNAME,PRUID,UniqueID,ndvi,pixel_qa,radsat_qa,sr_atmos_opacity,sr_cloud_qa
186,326.068771256821,545.3845000190688,379.75399338399336,3240.1866587885343,1523.1521811894206,2947.469995958519,647.3604195904883,Ottawa - Gatineau (Ontario part / partie de l'Ontario),35505,B,505,0302.00,5050302.00,Ontario,35,233,0.733023193200398,66.42193447596748,0.0016370728678558905,145.5773733792541,1.98789622685275
187,432.6959292667214,670.9931458374158,488.866687004389,4390.481563445907,1965.6126299592127,2948.0388224963945,903.9434142720238,Ottawa - Gatineau (Ontario part / partie de l'Ontario),35505,B,505,0184.00,5050184.00,Ontario,35,234,0.7823095377183407,66.50068712727128,0.13327235905141419,218.3697442735502,0.27696187085273727
188,358.584054936308,600.898509799303,423.7852268390318,3778.2265622088544,1772.0821818591505,2944.102328642679,793.1826898649006,Ottawa - Gatineau (Ontario part / partie de l'Ontario),35505,B,505,0190.02,5050190.02,Ontario,35,235,0.7891716204650805,66.5923926588879,0.01332278074827688,180.62188559259698,0.3495990039413702
189,574.6200548709546,817.2759670854786,712.7938776413952,3027.240153018706,1774.3674532308626,2992.928677823358,1061.3926091279823,Ottawa - Gatineau (Ontario part / partie de l'Ontario),35505,B,505,0122.03,5050122.03,Ontario,35,236,0.6034062707288972,66.43744992975064,0.0,266.0557264262219,0.24873893422329202
190,356.58272702892174,593.6928225574882,387.3816571513019,4775.846980535956,1970.8349250728224,2934.6451144533216,794.4445715890495,Ottawa - Gatineau (Ontario part / partie de l'Ontario),35505,B,505,0182.00,5050182.00,Ontario,35,237,0.8452383198273533,66.58713187744479,0.002706056257107878,196.00405927388545,0.39289945648268226
191,379.4185117429407,620.352928791952,433.0618923818751,4342.159021450793,1924.4600592414124,2949.147222715159,832.2644452582978,Ottawa - Gatineau (Ontario part / partie de l'Ontario),35505,B,505,0183.00,5050183.00,Ontario,35,238,0.810758836015339,67.05266787039226,0.0,205.30656967467215,0.512810914863296
192,669.3869598037367,907.1295257865363,839.2443992127893,2692.1210740570978,1701.473357506807,3010.810183188201,1102.0062275901105,Ottawa - Gatineau (Ontario part / partie de l'Ontario),35505,B,505,0170.08,5050170.08,Ontario,35,239,0.5164278944025239,66.43069447065479,0.0,199.74052381851016,0.092807268217723
193,663.6524792011359,902.9832264401348,834.5681436831675,2680.5719224600443,1755.6418230113686,3012.190494008328,1150.9090462632207,Ottawa - Gatineau (Ontario part / partie de l'Ontario),35505,B,505,0170.09,5050170.09,Ontario,35,240,0.5216470199306853,66.32997550323599,0.04770730167267879,227.23791093467733,0.5309853857412071
194,348.51931412222496,591.6913729783657,390.73850735851926,4454.115341457386,1920.89617984767,2939.691538135075,787.3704555981847,Ottawa - Gatineau (Ontario part / partie de l'Ontario),35505,B,505,0190.01,5050190.01,Ontario,35,241,0.8351313006114142,66.57286548656033,0.0047163014850403135,198.0825210356839,0.41670006846260627
195,630.9930550894187,864.0975487845812,786.0206549359933,2876.0451527065234,1744.783661360693,3010.573386632787,1094.6449860957953,Ottawa - Gatineau (Ontario part / partie de l'Ontario),35505,B,505,0137.05,5050137.05,Ontario,35,242,0.5546829403511981,66.27404468523758,0.12715155583257423,243.39894040370143,0.17064055233255027
196,322.4929305095216,563.9959978374961,373.56614390588305,3488.4305001860607,1666.61248271683,2940.089271336494,720.5078465385267,Ottawa - Gatineau (Ontario part / partie de l'Ontario),35505,B,505,0200.01,5050200.01,Ontario,35,243,0.7983717354659157,66.25677010855398,0.008143000909378754,168.38331713542098,0.22784734493853318
